"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"30","02001","69","46","29","4","778","0","0","0","0","0","0","0","0","0","616","0","0","0","0","0","0","0","0","0","0","0","415","0","0","0","0","186","0","418","0","189","1","403","2","9","2","190","275","332","293","315","349","254","266","342","354","250","282","316","357","248","292","314","233","373","357","250","226","376","332","269","0","403","0","0","201"
"30","02002","68","46","37","4","358","0","0","0","0","0","0","0","0","0","237","0","0","0","0","0","0","0","0","0","0","0","159","0","0","0","0","67","0","188","0","41","0","182","5","0","2","44","84","137","74","155","98","132","67","166","112","120","94","130","150","77","99","133","97","130","118","111","81","148","115","111","0","177","0","0","47"
"30","02008","69","46","29","4","2710","0","0","0","0","0","0","0","0","0","2062","0","0","0","0","0","0","0","0","0","0","0","1479","0","0","0","0","499","0","1477","0","532","6","1387","14","22","11","602","775","1217","826","1185","1017","961","720","1267","1007","982","797","1154","1197","764","951","1033","842","1149","1043","933","679","1298","1010","951","0","1431","0","0","568"
"30","02009","65","46","29","4","1691","0","0","0","0","0","0","0","0","0","1298","0","0","0","0","0","0","0","0","0","0","0","842","0","0","0","0","396","0","863","0","395","1","823","9","16","5","429","509","736","581","674","691","547","499","743","718","527","547","692","763","465","618","626","499","744","723","519","425","810","643","593","0","823","0","0","428"
"30","02011","68","45","37","4","1286","0","0","0","0","0","0","0","0","0","1147","0","0","0","0","0","0","0","0","0","0","0","457","0","0","0","0","640","0","518","0","594","1","541","0","7","2","577","634","467","732","372","744","351","629","470","749","341","625","463","567","515","806","294","345","755","767","322","555","538","742","351","0","506","0","0","597"
"30","02012","65","46","29","4","867","0","0","0","0","0","0","0","0","0","661","0","0","0","0","0","0","0","0","0","0","0","417","0","0","0","0","221","0","424","0","216","3","415","4","3","3","225","263","372","315","330","338","297","286","353","373","267","299","335","374","258","335","303","285","358","369","269","223","411","327","304","0","399","0","0","244"
"30","02015","65","46","29","4","514","0","0","0","0","0","0","0","0","0","413","0","0","0","0","0","0","0","0","0","0","0","242","0","0","0","0","148","0","247","0","151","0","238","6","6","3","155","191","207","238","165","243","155","179","223","259","139","196","201","246","146","270","130","166","232","245","158","162","234","272","124","0","230","0","0","169"
"30","02016","68","39","37","4","569","0","0","0","0","0","0","0","0","0","521","0","0","0","0","0","0","0","0","0","0","0","187","0","0","0","0","315","0","192","0","317","2","215","1","7","1","290","312","189","361","145","374","128","293","215","371","138","318","187","263","238","379","129","144","365","378","128","294","209","361","146","0","202","0","0","298"
"30","02017","68","45","37","4","1909","0","0","0","0","0","0","0","0","0","1744","0","0","0","0","0","0","0","0","0","0","0","656","0","0","0","0","1029","0","770","0","931","2","821","7","12","2","868","963","701","1179","505","1222","457","992","684","1179","504","946","705","836","806","1265","391","477","1192","1223","431","805","851","1075","570","0","723","0","0","960"
"30","02020","65","46","29","4","1357","0","0","0","0","0","0","0","0","0","1090","0","0","0","0","0","0","0","0","0","0","0","670","0","0","0","0","372","0","689","0","356","7","664","4","7","4","390","461","583","502","551","590","452","408","628","591","452","463","561","608","422","503","533","409","630","589","456","402","638","600","442","0","651","0","0","390"
"30","02023","65","46","29","4","1201","0","0","0","0","0","0","0","0","0","986","0","0","0","0","0","0","0","0","0","0","0","564","0","0","0","0","386","0","601","0","355","3","553","5","2","5","411","474","487","547","419","537","407","427","524","579","376","497","445","575","366","572","381","403","549","549","402","389","560","544","395","0","557","0","0","394"
"30","02024","68","45","37","4","1062","0","0","0","0","0","0","0","0","0","973","0","0","0","0","0","0","0","0","0","0","0","397","0","0","0","0","536","0","487","0","457","2","495","4","5","1","440","496","446","598","349","629","312","512","433","618","324","484","447","489","441","664","272","304","637","646","284","433","499","585","339","0","470","0","0","466"
