"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSAIP01","ASSDEM01","ASSDEM02","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_2_N","PR_2_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_3_N","PR_3_Y","PR_4_N","PR_4_Y","PR_5_N","PR_5_Y","PR_6_N","PR_6_Y","SENDEM01","SENDEM02","SENREP01","SENREP02","USPDEM01","USPREP01","USSDEM01","USSREP01"
"30","02001","68","46","34","4","673","0","0","0","0","0","0","0","0","0","371","0","0","0","0","0","0","0","0","0","0","0","0","230","0","109","0","244","0","0","111","0","3","221","5","3","2","126","105","252","155","200","152","201","170","175","71","282","122","232","130","229","98","257","162","189","156","194","0","0","0","0","225","127","225","128"
"30","02002","59","46","34","4","400","0","0","0","0","0","0","0","0","0","171","0","0","0","0","0","0","0","0","0","0","0","0","114","0","38","0","123","0","0","31","0","8","115","1","1","1","44","44","116","54","105","58","102","76","78","25","134","70","88","55","104","41","118","49","110","50","104","0","0","0","0","112","40","114","40"
"30","02008","68","46","34","4","2908","0","0","0","0","0","0","0","0","0","1722","0","0","0","0","0","0","0","0","0","0","0","0","1056","0","567","0","1078","0","0","565","0","20","980","11","3","14","676","508","1139","701","945","731","894","670","921","381","1266","495","1141","675","963","498","1144","712","918","754","851","0","0","0","0","994","645","1019","632"
"30","02009","67","46","34","4","2554","0","0","0","0","0","0","0","0","0","1482","0","0","0","0","0","0","0","0","0","0","0","0","855","0","544","0","866","0","0","527","0","9","808","16","1","7","628","405","984","585","820","561","833","560","812","280","1117","368","1034","611","785","400","999","476","912","642","736","0","0","0","0","799","592","819","595"
"30","02011","59","40","37","4","2665","0","0","0","0","0","0","0","0","0","2201","0","0","0","0","0","0","0","0","0","0","0","0","745","0","1324","0","785","0","0","1340","0","17","847","30","10","5","1254","1172","915","1532","559","1492","581","877","1129","868","1195","420","1669","1059","1023","1223","863","1551","521","1377","657","789","0","1330","0","815","1305","825","1311"
"30","02012","67","46","34","4","886","0","0","0","0","0","0","0","0","0","516","0","0","0","0","0","0","0","0","0","0","0","0","297","0","197","0","295","0","0","196","0","6","274","3","2","2","222","162","326","239","246","237","245","226","250","120","365","117","373","216","279","145","339","217","267","235","246","0","0","0","0","287","207","277","223"
"30","02015","67","46","34","4","568","0","0","0","0","0","0","0","0","0","358","0","0","0","0","0","0","0","0","0","0","0","0","184","0","160","0","190","0","0","155","0","7","165","6","2","5","164","148","190","204","138","203","128","141","187","90","245","90","248","155","183","134","203","194","140","190","141","0","0","0","0","161","179","167","179"
"30","02016","59","40","37","4","492","0","0","0","0","0","0","0","0","0","415","0","0","0","0","0","0","0","0","0","0","0","0","161","0","232","0","164","0","0","234","0","10","171","6","3","0","217","215","185","275","124","263","123","179","208","162","232","95","304","184","215","228","172","271","123","249","140","161","0","238","0","168","228","170","230"
"30","02020","67","46","34","4","2395","0","0","0","0","0","0","0","0","0","1442","0","0","0","0","0","0","0","0","0","0","0","0","797","0","555","0","830","0","0","540","0","23","738","28","1","14","619","532","824","663","703","643","713","592","742","382","973","372","996","579","784","499","864","658","699","672","665","0","0","0","0","750","612","758","625"
"30","02023","67","46","34","4","1295","0","0","0","0","0","0","0","0","0","856","0","0","0","0","0","0","0","0","0","0","0","0","481","0","342","0","503","0","0","315","0","7","444","11","0","4","384","331","473","444","376","440","368","386","402","224","585","209","613","345","474","321","487","467","337","395","400","0","0","0","0","459","359","459","368"
"30","02025","68","46","34","4","1562","0","0","0","0","0","0","0","0","0","981","0","0","0","0","0","0","0","0","0","0","0","0","564","0","371","0","587","0","0","366","0","13","531","9","2","3","409","396","537","492","448","493","431","418","495","248","682","249","681","407","526","381","551","501","425","497","420","0","0","0","0","544","397","550","407"
"30","02030","67","46","34","4","1051","0","0","0","0","0","0","0","0","0","704","0","0","0","0","0","0","0","0","0","0","0","0","355","0","308","0","359","0","0","303","0","5","345","5","2","0","342","310","348","417","245","418","238","281","363","215","449","137","519","346","311","308","356","392","262","385","253","0","0","0","0","329","343","333","345"
