Official Election Results
Orange
Contest Name,Candidate Name,Party,Vote by Mail Ballots Votes,Vote Center Ballots Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"Total Precincts Reported","2169"
"Governor","BRIAN DAHLE (REP)","REP","375519","117215","492734","2169","2169","994227","37081","1"
"Governor","GAVIN NEWSOM (DEM)","DEM","422365","41841","464206","2169","2169","994227","37081","1"
"Lieutenant Governor","ANGELA E. UNDERWOOD JACOBS (REP)","REP","365465","115498","480963","2169","2169","994227","51508","1"
"Lieutenant Governor","ELENI KOUNALAKIS (DEM)","DEM","420000","41661","461661","2169","2169","994227","51508","1"
"Secretary of State","ROB BERNOSKY (REP)","REP","375681","118066","493747","2169","2169","994227","29183","1"
"Secretary of State","SHIRLEY N. WEBER (DEM)","DEM","428256","42890","471146","2169","2169","994227","29183","1"
"Controller","LANHEE J. CHEN (REP)","REP","406152","119713","525865","2169","2169","994227","34222","1"
"Controller","MALIA M. COHEN (DEM)","DEM","393556","40409","433965","2169","2169","994227","34222","1"
"Treasurer","JACK M. GUERRERO (REP)","REP","388162","119592","507754","2169","2169","994227","35362","1"
"Treasurer","FIONA MA (DEM)","DEM","410494","40512","451006","2169","2169","994227","35362","1"
"Attorney General","NATHAN HOCHMAN (REP)","REP","384217","118191","502408","2169","2169","994227","32524","1"
"Attorney General","ROB BONTA (DEM)","DEM","417074","42081","459155","2169","2169","994227","32524","1"
"Insurance Commissioner","ROBERT HOWELL (REP)","REP","369060","116594","485654","2169","2169","994227","42458","1"
"Insurance Commissioner","RICARDO LARA (DEM)","DEM","423481","42478","465959","2169","2169","994227","42458","1"
"Member, State Board of Equalization 4th District","MIKE SCHAEFER (DEM)","DEM","377238","65422","442660","2169","2169","994227","254784","1"
"Member, State Board of Equalization 4th District","DAVID DODSON (DEM)","DEM","250444","44820","295264","2169","2169","994227","254784","1"
"UNITED STATES SENATOR Full Term","MARK P. MEUSER (REP)","REP","371952","117233","489185","2169","2169","994227","25323","1"
"UNITED STATES SENATOR Full Term","ALEX PADILLA (DEM)","DEM","435582","43912","479494","2169","2169","994227","25323","1"
"UNITED STATES SENATOR Partial/Unexpired Term","MARK P. MEUSER (REP)","REP","370497","116775","487272","2169","2169","994227","30713","1"
"UNITED STATES SENATOR Partial/Unexpired Term","ALEX PADILLA (DEM)","DEM","432603","43515","476118","2169","2169","994227","30713","1"
"UNITED STATES REPRESENTATIVE 38th District","LINDA T. SANCHEZ (DEM)","DEM","6961","785","7746","22","22","15622","463","1"
"UNITED STATES REPRESENTATIVE 38th District","ERIC J. CHING (REP)","REP","5386","2022","7408","22","22","15622","463","1"
"UNITED STATES REPRESENTATIVE 40th District","YOUNG KIM (REP)","REP","114447","34850","149297","646","646","270822","7690","1"
"UNITED STATES REPRESENTATIVE 40th District","ASIF MAHMOOD (DEM)","DEM","103925","9862","113787","646","646","270822","7690","1"
"UNITED STATES REPRESENTATIVE 45th District","MICHELLE STEEL (REP)","REP","81273","23089","104362","421","421","200150","5378","1"
"UNITED STATES REPRESENTATIVE 45th District","JAY F. CHEN (DEM)","DEM","81898","8447","90345","421","421","200150","5378","1"
"UNITED STATES REPRESENTATIVE 46th District","LOU CORREA (DEM)","DEM","69840","8201","78041","366","366","129710","3394","1"
"UNITED STATES REPRESENTATIVE 46th District","CHRISTOPHER J. GONZALES (REP)","REP","36699","11558","48257","366","366","129710","3394","1"
"UNITED STATES REPRESENTATIVE 47th District","KATIE PORTER (DEM)","DEM","124852","12522","137374","534","534","271841","6160","1"
"UNITED STATES REPRESENTATIVE 47th District","SCOTT BAUGH (REP)","REP","97325","30936","128261","534","534","271841","6160","1"
"UNITED STATES REPRESENTATIVE 49th District","BRIAN MARYOTT (REP)","REP","42402","14712","57114","180","180","106082","2149","1"
"UNITED STATES REPRESENTATIVE 49th District","MIKE LEVIN (DEM)","DEM","42954","3853","46807","180","180","106082","2149","1"
"STATE SENATOR 30th District","MITCH CLEMMONS (REP)","REP","7053","2004","9057","42","42","17323","790","1"
"STATE SENATOR 30th District","BOB ARCHULETA (DEM)","DEM","6856","619","7475","42","42","17323","790","1"
"STATE SENATOR 32nd District","KELLY SEYARTO (REP)","REP","15486","4905","20391","60","60","31060","1208","1"
"STATE SENATOR 32nd District","BRIAN NASH (DEM)","DEM","8660","798","9458","60","60","31060","1208","1"
"STATE SENATOR 34th District","TOM UMBERG (DEM)","DEM","79424","9144","88568","410","410","155220","4998","1"
"STATE SENATOR 34th District","RHONDA SHADER (REP)","REP","47084","14557","61641","410","410","155220","4998","1"
"STATE SENATOR 36th District","JANET NGUYEN (REP)","REP","144257","42714","186971","627","627","333457","9374","1"
"STATE SENATOR 36th District","KIM CARR (DEM)","DEM","124933","12094","137027","627","627","333457","9374","1"
"STATE SENATOR 38th District","MATT GUNDERSON (REP)","REP","45547","15476","61023","184","184","110680","3844","1"
"STATE SENATOR 38th District","CATHERINE BLAKESPEAR (DEM)","DEM","41843","3954","45797","184","184","110680","3844","1"
"MEMBER OF THE STATE ASSEMBLY 59th District","PHILLIP CHEN (REP)","REP","76593","20495","97088","450","450","150895","12855","1"
"MEMBER OF THE STATE ASSEMBLY 59th District","LEON Q. SIT (NPP)","","36821","4101","40922","450","450","150895","12855","1"
"MEMBER OF THE STATE ASSEMBLY 64th District","BLANCA PACHECO (DEM)","DEM","7112","806","7918","22","22","15622","574","1"
"MEMBER OF THE STATE ASSEMBLY 64th District","RAUL ORTIZ, JR. (REP)","REP","5131","1997","7128","22","22","15622","574","1"
"MEMBER OF THE STATE ASSEMBLY 67th District","SHARON QUIRK-SILVA (DEM)","DEM","41719","4987","46706","236","236","90517","2122","1"
"MEMBER OF THE STATE ASSEMBLY 67th District","SOO YOO (REP)","REP","31551","10116","41667","236","236","90517","2122","1"
