Official Election Results
Orange
Contest Name,Candidate Name,Party,Vote-by-Mail Ballots Votes,Vote Center Ballots Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"Total Precincts Reported","2294"
"PRESIDENT AND VICE PRESIDENT","KAMALA D. HARRIS/TIM WALZ (DEM)","DEM","583194","108537","691731","2294","2294","1417397","16239","1"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP/JD VANCE (REP)","REP","452784","202031","654815","2294","2294","1417397","16239","1"
"PRESIDENT AND VICE PRESIDENT","JILL STEIN/RUDOLPH WARE (GRN)","GRN","12956","3578","16534","2294","2294","1417397","16239","1"
"PRESIDENT AND VICE PRESIDENT","ROBERT F. KENNEDY JR./NICOLE SHANAHAN (AI)","AI","13215","3192","16407","2294","2294","1417397","16239","1"
"PRESIDENT AND VICE PRESIDENT","CHASE OLIVER/MIKE TER MAAT (LIB)","LIB","5638","1110","6748","2294","2294","1417397","16239","1"
"PRESIDENT AND VICE PRESIDENT","CLAUDIA DE LA CRUZ/KARINA GARCIA (P/F)","P/F","3806","924","4730","2294","2294","1417397","16239","1"
"PRESIDENT AND VICE PRESIDENT","Peter Sonski","","280","62","342","2294","2294","1417397","16239","1"
"UNITED STATES SENATOR","STEVE GARVEY (REP)","REP","487139","201828","688967","2294","2294","1417397","52982","1"
"UNITED STATES SENATOR","ADAM B. SCHIFF (DEM)","DEM","567530","107352","674882","2294","2294","1417397","52982","1"
"UNITED STATES SENATOR, Partial/Unexpired Term","STEVE GARVEY (REP)","REP","484771","198949","683720","2294","2294","1417397","66868","1"
"UNITED STATES SENATOR, Partial/Unexpired Term","ADAM B. SCHIFF (DEM)","DEM","561103","105483","666586","2294","2294","1417397","66868","1"
"UNITED STATES REPRESENTATIVE 38th District","*LINDA T. SÁNCHEZ (DEM)","DEM","10373","2239","12612","22","22","24612","1200","1"
"UNITED STATES REPRESENTATIVE 38th District","ERIC J. CHING (REP)","REP","7309","3490","10799","22","22","24612","1200","1"
"UNITED STATES REPRESENTATIVE 40th District","*YOUNG KIM (REP)","REP","140682","53716","194398","679","679","367649","14463","1"
"UNITED STATES REPRESENTATIVE 40th District","JOE KERR (DEM)","DEM","136047","22667","158714","679","679","367649","14463","1"
"UNITED STATES REPRESENTATIVE 45th District","*MICHELLE STEEL (REP)","REP","102871","39900","142771","458","458","293794","11738","1"
"UNITED STATES REPRESENTATIVE 45th District","DEREK TRAN (DEM)","DEM","115102","24096","139198","458","458","293794","11738","1"
"UNITED STATES REPRESENTATIVE 46th District","*LOU CORREA (DEM)","DEM","106062","27951","134013","367","367","221331","9978","1"
"UNITED STATES REPRESENTATIVE 46th District","DAVID PAN (REP)","REP","52399","24880","77279","367","367","221331","9978","1"
"UNITED STATES REPRESENTATIVE 47th District","DAVE MIN (DEM)","DEM","153875","27846","181721","568","568","370205","16861","1"
"UNITED STATES REPRESENTATIVE 47th District","SCOTT BAUGH (REP)","REP","121475","50079","171554","568","568","370205","16861","1"
"UNITED STATES REPRESENTATIVE 49th District","MATT GUNDERSON (REP)","REP","52496","22016","74512","200","200","139806","5348","1"
"UNITED STATES REPRESENTATIVE 49th District","*MIKE LEVIN (DEM)","DEM","51911","8017","59928","200","200","139806","5348","1"
"STATE SENATOR 37th District","STEVEN ""STEVE"" CHOI (REP)","REP","167880","64465","232345","880","880","483729","25027","1"
"STATE SENATOR 37th District","*JOSH NEWMAN (DEM)","DEM","191465","34805","226270","880","880","483729","25027","1"
"MEMBER OF THE STATE ASSEMBLY 59th District","*PHILLIP CHEN (REP)","REP","86350","31161","117511","452","452","205591","12783","1"
"MEMBER OF THE STATE ASSEMBLY 59th District","DAVE OBRAND (DEM)","DEM","64148","11132","75280","452","452","205591","12783","1"
"MEMBER OF THE STATE ASSEMBLY 64th District","*BLANCA PACHECO (DEM)","DEM","10276","2200","12476","22","22","24612","1381","1"
"MEMBER OF THE STATE ASSEMBLY 64th District","RAUL ORTIZ JR. (REP)","REP","7274","3478","10752","22","22","24612","1381","1"
"MEMBER OF THE STATE ASSEMBLY 67th District","*SHARON QUIRK-SILVA (DEM)","DEM","61225","13923","75148","259","259","141456","7882","1"
"MEMBER OF THE STATE ASSEMBLY 67th District","ELIZABETH ""BETH"" CULVER (REP)","REP","40038","18368","58406","259","259","141456","7882","1"
"MEMBER OF THE STATE ASSEMBLY 68th District","*AVELINO VALENCIA (DEM)","DEM","66947","17312","84259","206","206","140554","8293","1"
"MEMBER OF THE STATE ASSEMBLY 68th District","MIKE TARDIF (REP)","REP","32600","15375","47975","206","206","140554","8293","1"
"MEMBER OF THE STATE ASSEMBLY 70th District","*TRI TA (REP)","REP","70574","25509","96083","285","285","187570","11844","1"
"MEMBER OF THE STATE ASSEMBLY 70th District","JIMMY D. PHAM (DEM)","DEM","64936","14651","79587","285","285","187570","11844","1"
"MEMBER OF THE STATE ASSEMBLY 71st District","*KATE SANCHEZ (REP)","REP","46459","19083","65542","182","182","116006","7283","1"
"MEMBER OF THE STATE ASSEMBLY 71st District","GARY KEPHART (DEM)","DEM","37106","6061","43167","182","182","116006","7283","1"
"MEMBER OF THE STATE ASSEMBLY 72nd District","*DIANE DIXON (REP)","REP","115632","41646","157278","389","389","281496","16932","1"
"MEMBER OF THE STATE ASSEMBLY 72nd District","DOM JONES (DEM)","DEM","92489","14762","107251","389","389","281496","16932","1"
"MEMBER OF THE STATE ASSEMBLY 73rd District","*COTTIE PETRIE-NORRIS (DEM)","DEM","90826","17619","108445","334","334","204905","14070","1"
"MEMBER OF THE STATE ASSEMBLY 73rd District","SCOTTY PEOTTER (REP)","REP","58519","23846","82365","334","334","204905","14070","1"
"MEMBER OF THE STATE ASSEMBLY 74th District","*LAURIE DAVIES (REP)","REP","44880","17871","62751","165","165","115207","5072","1"
"MEMBER OF THE STATE ASSEMBLY 74th District","CHRIS DUNCAN (DEM)","DEM","40889","6477","47366","165","165","115207","5072","1"
"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 2","*ED LOPEZ","","17839","5064","22903","62","62","40400","6145","1"
"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 2","JACK DANIEL FENNELL","","7802","3158","10960","62","62","40400","6145","1"
"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 5","MARK LOPEZ","","17628","5801","23429","61","61","40718","5485","1"
"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 5","STEVE SLAWSON","","8060","3492","11552","61","61","40718","5485","1"
"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7","*RYAN BENT","","27127","8902","36029","104","104","74208","14215","1"
"NORTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7","KYLE MILLER","","19170","4391","23561","104","104","74208","14215","1"
"COAST COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 2","PHU NGUYEN","","18637","4806","23443","49","49","49352","8054","1"
"COAST COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 2","JOE DOVINH","","7919","1824","9743","49","49","49352","8054","1"
"COAST COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 2","LINDA R. ZAMORA","","5432","2255","7687","49","49","49352","8054","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 3","CECILIA ""CECI"" IGLESIAS","","6306","2158","8464","31","31","21567","2787","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 3","NELIDA MENDOZA","","3313","959","4272","31","31","21567","2787","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 3","ANDREW LINARES","","2443","882","3325","31","31","21567","2787","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 3","AUDREY Y NOJI","","2130","434","2564","31","31","21567","2787","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 5","*DAVID CROCKETT","","8695","1910","10605","39","39","23122","3520","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 5","MAYRA RUIZ","","6476","2379","8855","39","39","23122","3520","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7","*TINA ARIAS MILLER","","15364","4268","19632","89","89","33049","7730","1"
"RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7","TONY CASTRO","","3704","1688","5392","89","89","33049","7730","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 1","*CAROLYN INMON","","26464","5036","31500","59","59","59941","13583","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 1","KATHERINE DAIGLE","","6654","2461","9115","59","59","59941","13583","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 1","MARLENE BRONSON","","3610","1836","5446","59","59","59941","13583","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 3","LISA A. BARTLETT","","27592","9762","37354","130","130","87721","15575","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 3","ROCKY CIFONE","","28926","5575","34501","130","130","87721","15575","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 6","*RYAN DACK","","25270","4855","30125","99","99","67376","16432","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 6","MICHAEL FRANKLIN","","14957","5361","20318","99","99","67376","16432","1"
"SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT Governing Board Member, Trustee Area 7","*TIMOTHY ""TIM"" JEMAL","","30307","6522","36829","78","78","80865","17677","1"
